equipement,parametre,pente_par_observation,p_value,tendance,significatif
LOC,CLR_DDM_uA,0.000341,0.0025,Croissante,True
LOC,CLR_SDM_pct,2.6e-05,0.08552,Aucune tendance significative,False
LOC,CL_DDM_uA,0.003709,0.0,Croissante,True
LOC,CL_RF_dB,8e-06,0.01065,Croissante,True
LOC,CL_SDM_pct,3.5e-05,0.00189,Croissante,True
LOC,CSB_DIR_Clearance_W,2.5e-05,0.13711,Aucune tendance significative,False
LOC,CSB_DIR_Course_W,6e-05,4e-05,Croissante,True
LOC,DS_DDM_uA,0.000257,0.00019,Croissante,True
LOC,DS_RF_dB,2.7e-05,0.01924,Croissante,True
LOC,DS_SDM_pct,0.000196,0.00057,Croissante,True
LOC,Diff_Freq_kHz,1.5e-05,0.11511,Aucune tendance significative,False
LOC,Freq_Porteuse_MHz,0.0,0.00136,Croissante,True
LOC,NF_DDM_uA,7.6e-05,0.01722,Croissante,True
LOC,SBO_DIR_Clearance_W,3e-06,0.05972,Aucune tendance significative,False
LOC,SBO_DIR_Course_W,5e-06,0.04709,Croissante,True
LOC,Tension_Batterie_V,2.8e-05,6e-05,Croissante,True
GP,CLR_DDM_uA,0.000262,0.03964,Croissante,True
GP,CLR_SDM_pct,1.3e-05,0.32427,Aucune tendance significative,False
GP,CL_DDM_uA,0.000354,0.00019,Croissante,True
GP,CL_RF_dB,3e-06,0.2928,Aucune tendance significative,False
GP,CL_SDM_pct,4.7e-05,0.00348,Croissante,True
GP,CSB_DIR_Clearance_W,4e-06,0.00072,Croissante,True
GP,CSB_DIR_Course_W,0.00091,0.0,Croissante,True
GP,DS_DDM_uA,0.000114,0.02233,Croissante,True
GP,DS_RF_dB,4.3e-05,0.0002,Croissante,True
GP,DS_SDM_pct,0.0001,0.04647,Croissante,True
GP,Diff_Freq_kHz,3.3e-05,0.00933,Croissante,True
GP,Freq_Porteuse_MHz,0.0,0.06082,Aucune tendance significative,False
GP,NF_DDM_uA,0.000189,0.16699,Aucune tendance significative,False
GP,SBO_DIR_Course_W,4e-06,0.00292,Croissante,True
GP,Tension_Batterie_V,1e-05,0.19291,Aucune tendance significative,False
DME,Code_us,2e-06,0.00262,Croissante,True
DME,Efficacite_Reponse_pct,0.000118,0.00248,Croissante,True
DME,Largeur_Impulsion_us,1e-06,0.45187,Aucune tendance significative,False
DME,Puissance_Rayonnee_W,-2e-06,0.6814,Aucune tendance significative,False
DME,Retard_Systematique_us,0.000181,0.0,Croissante,True
DME,Temps_Descente_us,8e-06,0.0285,Croissante,True
DME,Temps_Montee_us,6e-06,0.00124,Croissante,True
DME,Tension_Batterie_V,1.7e-05,0.03187,Croissante,True
